person_id,source_position_id,page_number,comments_before,comments_after,reason
P005151,2-24-314-1115,348,1211,,pure_numeric_comment
P005152,2-24-315-1116,348,1212,,pure_numeric_comment
P005153,2-24-315-1117,348,1213,,pure_numeric_comment
P005154,2-24-315-1118,348,1214,,pure_numeric_comment
P005155,2-24-316-1119,348,1215,,pure_numeric_comment
P005156,2-24-316-1120,348,1216,,pure_numeric_comment
P005158,2-24-317-1122,348,1218,,pure_numeric_comment
P005160,2-24-318-1124,348,1220,,pure_numeric_comment
P005161,2-24-318-1125,348,1221,,pure_numeric_comment
P005162,2-24-319-1126,348,1222,,pure_numeric_comment
P005163,2-24-319-1127,348,1225,,pure_numeric_comment
P005164,2-24-319-1128,348,1223,,pure_numeric_comment
P005166,2-24-319-1130,349,1226,,pure_numeric_comment
P005167,2-24-320-1131,349,1227,,pure_numeric_comment
P005168,2-24-320-1132,349,1228,,pure_numeric_comment
P005169,2-24-321-1133,349,1229,,pure_numeric_comment
P005170,2-24-321-1134,349,1230,,pure_numeric_comment
P005171,2-24-321-1135,349,1231,,pure_numeric_comment
P005172,2-24-322-1136,349,1232,,pure_numeric_comment
P005173,2-24-322-1137,349,1233,,pure_numeric_comment
P005174,2-24-323-1138,349,1234,,pure_numeric_comment
P005175,2-24-324-1139,349,1235,,pure_numeric_comment
P005176,2-24-324-1140,349,1236,,pure_numeric_comment
P005177,2-24-324-1141,349,1237,,pure_numeric_comment
P005178,2-24-325-1142,349,1238,,pure_numeric_comment
P005180,2-24-325-1144,349,1240,,pure_numeric_comment
P005181,2-24-325-1145,349,1241,,pure_numeric_comment
P005182,2-24-326-1146,349,1242,,pure_numeric_comment
P005183,2-24-326-1147,350,1243,,pure_numeric_comment
P005184,2-24-326-1148,350,1244,,pure_numeric_comment
P005185,2-24-326-1149,350,1245,,pure_numeric_comment
